;;;;;;;;;;
;Obligationsrente;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;År;Uge;Kort rente;Lang rente;Kort euro rente;;;;;
;;16;1,26;4,64;1,26;;;;;
;;15;1,32;4,75;1,24;;;;;
;;14;1,22;4,88;1,14;;;;;
;;13;1,25;4,68;1,27;;;;;
;;12;1,3;4,79;1,32;;;;;
;;11;1,34;4,85;1,3;;;;;
;;10;1,41;4,88;1,08;;;;;
;;9;1,44;4,95;1,01;;;;;
;;8;1,39;4,93;1,05;;;;;
;;7;1,42;5,02;1,10;;;;;
;;6;1,45;5,01;1,11;;;;;
;;5;1,49;5,08;1,24;;;;;
;;4;1,44;5,06;1,11;;;;;
;;3;1,55;5,12;1,12;;;;;
;;2;1,75;5,20;1,29;;;;;
;2010;1;1,75;5,20;1,36;;;;;
;;53;1,74;5,19;1,36;;;;;
;;52;1,73;5,18;1,38;;;;;
;;51;1,78;5,17;1,46;;;;;
;;50;1,77;5,14;1,39;;;;;
;;49;1,68;5,20;1,31;;;;;
;;48;1,79;5,22;1,20;;;;;
;;47;1,86;5,26;1,28;;;;;
;;46;1,80;5,30;1,45;;;;;
;;45;1,70;5,28;1,47;;;;;
;;44;2,09;5,29;1,52;;;;;
;;43;1,47;5,25;1,20;;;;;
;;42;1,95;5,20;1,23;;;;;
;;41;1,85;5,19;1,17;;;;;
;;40;1,64;5,21;1,00;;;;;
;;39;1,97;5,25;1,00;;;;;
;;38;2,08;5,24;1,29;;;;;
;;37;2,07;5,24;1,32;;;;;
;;36;2,07;5,20;1,43;;;;;
;;35;2,07;5,20;1,37;;;;;
;;34;2,26;5,28;1,44;;;;;
;;33;2,15;5,29;1,50;;;;;
;;32;2,17;5,29;1,42;;;;;
;;31;2,09;5,35;1,47;;;;;
;;30;2,12;5,35;1,57;;;;;
;;29;2,15;5,34;1,62;;;;;
;;28;2,2;5,31;1,74;;;;;
;;27;2,23;5,38;1,80;;;;;
;;26;2,31;5,48;1,84;;;;;
;;25;2,40;5,53;2,00;;;;;
;;24;2,52;5,59;2,10;;;;;
;;23;2,46;5,43;1,99;;;;;
;;22;2,53;5,48;2,05;;;;;
;;21;2,54;5,46;2,04;;;;;
;;20;2,60;5,46;2,13;;;;;
